Date,Open,High,Low,Close,Volume
2021-03-23,197.5,201.75,177.55,181.75,14464012.0
2021-03-24,157.98,166.97,118.62,120.34,24334154.0
2021-03-25,123.49,187.5,116.9,183.75,51054614.0
2021-03-26,197.68,218.9344,163.26,181,37714587.0
2021-03-29,180.75,193.92,173.51,181.3,10075068.0
2021-03-30,187.5,204.3,182,194.46,17130578.0
2021-03-31,197.5,199.46,187.1102,189.82,8438110.0
2021-04-01,193.36,196.969,183.6,191.45,9351417.0
2021-04-05,171.004,195,164.81,186.95,14223605.0
2021-04-06,185.21,192,183.56,184.5,6255705.0
2021-04-07,183.22,184.4999,176.11,177.97,4792708.0
2021-04-08,185.88,185.88,164.3,170.26,10089786.0
2021-04-09,169.7,171.58,153,158.36,9492084.0
2021-04-12,158.11,163.9,135.01,141.09,16718516.0
2021-04-13,141.88,145.3771,132,140.99,6835089.0
2021-04-14,143.57,174.09,143,166.53,21185462.0
2021-04-15,163,166.2546,152.8,156.44,7903985.0
2021-04-16,156,160.1969,151.25,154.69,5251640.0
2021-04-19,171.8,175.2,162.33,164.37,10607846.0
2021-04-20,164.14,164.89,153.36,158.53,4700716.0
2021-04-21,158.4,162.98,155.92,158.51,3846815.0
2021-04-22,159.1,159.1,146.86,151.17,4382268.0
2021-04-23,149,153.6598,144.7,151.18,4070812.0
2021-04-26,150.98,174.6795,148.76,168.93,10562376.0
2021-04-27,183.55,188,173.17,177.77,9009110.0
2021-04-28,172.1,181.98,166.0281,178.58,5818747.0
2021-04-29,176.56,180.86,170.75,176.19,3779436.0
2021-04-30,175,183.8,172.7,173.59,4447962.0
2021-05-03,177.49,177.49,159.61,162.2,5279466.0
2021-05-04,159,161.49,151.8,160.73,4041988.0
2021-05-05,161.83,165.5,158.33,159.48,2836047.0
2021-05-06,160.86,164.72,155.6,161.01,2965476.0
2021-05-07,160.11,167.41,157.5001,161.11,2951929.0
2021-05-10,161.31,161.585,143,143.22,4830915.0
2021-05-11,137,150.5,136.5,146.92,4749691.0
2021-05-12,145.7,150.5,142.231,144.79,2760980.0
2021-05-13,147.44,169.95,146.43,164.5,8906145.0
2021-05-14,160,166.47,156.22,159.92,4338793.0
2021-05-17,159.85,182.5,159,180.6,7491530.0
2021-05-18,174.54,189.2,168.27,180.67,7784177.0
2021-05-19,171.99,178.9799,164.15,168.83,4864996.0
2021-05-20,170.79,174.91,166.9,170.49,2499832.0
2021-05-21,171,179.24,170.33,176.79,3674670.0
2021-05-24,175.85,188.4576,173.35,180.01,4695585.0
2021-05-25,181,217.11,181,209.43,14904479.0
2021-05-26,229,248.4794,225.55,242.56,21217766.0
2021-05-27,229.8,264,227,254.13,15595628.0
2021-05-28,262.97,268.7999,221.43,222,11800967.0
2021-06-01,233.48,254.98,227.07,249.02,9675082.0
2021-06-02,248.88,294,244.3,282.24,16069132.0
2021-06-03,265.71,274.43,242.1206,258.18,8057715.0
